ds_sigla	no_titulo	nu_indice_h	no_estrato
ICAT	International Conference on Artificial Reality and Telexistence	8	B2
ICCP	IEEE International Conference on Intelligent Computer Communication and Processing	11	B2
ICCPS	International Conference on Cyber-Physical Systems	0	B2
ICECSYS	IEEE International Conference on Electronics, Circuits and Systems	11	B2
ICEIS	International Conference on Enterprice Information Systems	10	B2
ICINCO	International Conference on Informatics in Control, Automation and Robotics	10	B2
ICLP	International Conference on Logic Programming	11	B2
ICM	International Conference on Microelectronics	11	B2
ICMC 	International Computer Music Conference	11	B2
ICMCS	IEEE International Conference on Multimedia and Expo	25	B2
ICSOB	International Conference on Software Business	11	B2
ICSOFT	International Conference on Software and Data Technologies	11	B2
ICSR	International Conference on Software Reuse	0	B2
ICSSSM	International Conference on Service Systems and Service Management	8	B2
ICTAC	International Colloquium on Theoretical Aspects of Computing	9	B2
ICTIR	International Conference on the Theory of Information Retrieval	9	B2
ICTSS	IFIP International Conference on Testing Software and Systems	0	B2
ICVR	International Conference on Virtual Rehabilitation	10	B2
IDC	International Symposium on Intelligent Distributed Computing	0	B2
IDEAL	International Conference on Intelligent Data Engineering and Automated Learning	10	B2
IDEAS	International Database Engineering and Applications Symposium	8	B2
IECON	Annual Conference of the IEEE Industrial Electronics Society	29	B2
IFAC	World Congress of the International Federation  of Automatic Control	35	B2
IFM	International Conference on Integrated Formal Methods	0	B2
IGARSS	IEEE International Geoscience and Remote Sensing Symposium	24	B2
IGIC	IEEE International Games Innovation Conference	8	B2
IHC	Simpósio Brasileiro sobre Fatores Humanos em Sistemas Computacionais	10	B2
IISA	International Conference on Information, Intelligence, Systems and Applications	8	B2
ISBI	IEEE International Symposium on Biomedical Imaging	23	B2
ISCIS	International Symposium on Computer and Information Sciences	11	B2
ISGTEUROPE	IEEE International Conference on Innovative Smart Grid Technologies	21	B2
ISMIS	International Symposium on Methodologies for Intelligent Systems	11	B2
IST 	International Conference on Imaging Systems and Techniques	11	B2
ITHET	International Conference on Information Technology Based Higher Education and Training	8	B2
ITSC	IEEE International Conference on Intelligent Transportation Systems	25	B2
IVAPP	International Conference on Information Visualization Theory and Applications	11	B2
IWANN	International Work-Conference on Artificial and Natural Neural Networks	11	B2
IWBBIO	International Work-Conference on Bioinformatics and Biomedical Engineering	8	B2
JCSSE	International Joint Conference on Computer Science and Software Engineering	10	B2
KESAMSTA	International KES Conference on Agents and Multi-Agent Systems: Technologies and Applications	11	B2
LASCAS	IEEE Latin American Symposium on Circuits and Systems	10	B2
LATINCOM	IEEE  Latin-American Conference on Communications	9	B2
LATW	Latin American Test Workshop	9	B2
MATES	German Conference on Multiagent System Technologies	9	B2
MCPR2	Mexican Conference on Pattern Recognition	9	B2
MDAI	International Conference on Modeling Decisions for Artificial Intelligence	8	B2
MEDES	International Conference on Management of Emergent Digital EcoSystems	10	B2
MIG	ACM Siggraph Conference on Motion in Games	11	B2
MLDM	International Conference on Machine Learning and Data Mining	11	B2
MOBIWAC	ACM International Symposium on Mobility Management and Wireless Access	8	B2
MS	IEEE International Conference on Mobile Services	9	B2
MSN	IEEE International Conference on Mobile Ad-Hoc and Sensor Networks	10	B2
MTSR	International Conference on Metadata and Semantics Research	9	B2
NABIC	World Congress on Nature and Biologically Inspired Computing	10	B2
NAFIPS	Annual Conference of the North American Fuzzy Information Processing Society	9	B2
NCA	IEEE International Symposium on Network Computing and Applications	11	B2
NEWCAS	IEEE International New Circuits and Systems Conference	11	B2
NOF	International Conference on Network of the Future	10	B2
OR	International Conference on Operations Research	10	B2
OSS	International Conference on Open Source Systems	9	B2
PAAMS	International Conference on Practical Applications of Agents, Multi-Agent Systems and Sustainability	11	B2
ParCO	International Conference on Parallel Computing	11	B2
PE-WASUN	ACM International Symposium on Performance Evaluation of Wireless Ad Hoc, Sensor, and Ubiquitous Networks	0	B2
PLOP	Conference on Pattern Languages of Programs	10	B2
PRIMA	PRIMA -International Conference on Principles and Practice of Multi-Agent Systems	9	B2
PROFES	International Conference on Product-Focused Software Process Improvement	11	B2
PROMISE	International Conference on Predictive Models and Data Analytics in Software Engineering	0	B2
QoSA	International ACM Sigsoft Conference on the Quality of Software Architectures	0	B2
QUATIC	International Conference on Quality of Information and Communications Technology	9	B2
ROSE	International Symposium on Robotic and Sensors Environments	9	B2
RSP	International Symposium on Rapid System Prototyping	9	B2
SANER	IEEE International Conference on Software Analysis, Evolution and Reengineering	0	B2
SBBD	Simpósio Brasileiro de Banco de Dados	0	B2
SBES	Brazilian Symposium on Software Engineering	0	B2
SBGAMES	Simpósio Brasileiro de Jogos e Entretenimento Digital	0	B2
SBIA	Brazilian Symposium on Artificial Intelligence	0	B2
SBRC	Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos	0	B2
SIGDOC	International Conference on Design of Communication	9	B2
SIMULTECH	International Conference on Simulation and Modeling Methodologies, Technologies and Applications	9	B2
SISAP	SISAP -International Conference on Similarity Search and Applications	9	B2
SOCC	IEEE International System-on-Chip Conference	0	B2
SSPR	International Workshop on Structural and Syntactic Pattern Recognition	8	B2
SVR	Symposium on Virtual and Augmented Reality	9	B2
TAROS	Towards Autonomous Robotics Systems	9	B2
TSD	International Conference on Text, Speech and Dialogue	11	B2
UIC	IEEE International Conference on Ubiquitous Intelligence and Computing	8	B2
VISSOFT	IEEE Working Conference on Software Visualization	11	B2
VNC	IEEE Vehicular Networking Conference	19	B2
VRST	ACM Symposium on Virtual Reality Software and Technology	10	B2
W2GIS	International Symposium Web and Wireless Geographical Information Systems	0	B2
WALCOM	International Workshop on Algorithms and Computation	10	B2
WAOA	Workshop on Approximation and Online Algorithms		B2
WEBIST	International Conference on Web Information Systems and Technologies	10	B2
WG	International Workshop on Graph-Theoretic Concepts in Computer Science	11	B2
WiSec	ACM Conference on Security & Privacy in Wireless and Mobile Networks	0	B2
WMNC	Wireless and Mobile Networking Conference	11	B2
WOCC	Wireless and Optical Communications Conference	9	B2
WOLLIC	Workshop on Logic, Language, Information and Computation	11	B2
WSC	Winter Simulation Conference	23	B2
WUWNET	International Conference on UnderWater Networks and Systems	11	B2
3DTV	3DTV Conference: The True Vision-Capture, Transmission and Display of 3D Video	14	B3
ACE	Advances in Computer Entertainment Technology	14	B3
ARRAY	IEEE International Symposium on Phased Array Systems & Technology	5	B3
BCB	ACM International Conference on Bioinformatics and Computational Biology and Health Informatics	13	B3
BDCLOUD	International Conference on Big Data and Cloud Computing	6	B3
BIBM	IEEE International Conference on Bioinformatics and Biomedicine	14	B3
BRACIS	Brazilian Conference on Intelligent System (ENIAC)	7	B3
BSB	Brazilian Symposium on Bioinformatics	0	B3
CADGRAPHICS	International Conference on Computer-Aided Design and Computer Graphics	7	B3
CCECE	Canadian Conference on Electrical and Computer Engineering	15	B3
CDVE	International Conference on Cooperative Design, Visualization, and Engineering	6	B3
CLEI	Conferencia Latinoamericana de Informática	6	B3
COLOGNETWENTE	Cologne-Twente Workshop on Graphs and Combinatorial Optimization	7	B3
COMPIMAGE	International Symposium CompIMAGE	6	B3
CRIWG	International Conference on Collaboration and Technology	7	B3
CSEDU	International Conference on Computer Supported Education	13	B3
DEPCOS	International Conference on Dependability and Complex Systems	7	B3
EANN	Internation Conference on Engineering Applications of Neural Networks	6	B3
EATIS	Euro American Conference on Telematics and Information Systems	6	B3
EDCC	European Dependable Computing Conference	0	B3
EUROITV	European Conference on Interactive TV	16	B3
EuroPloP	 European Conference on Pattern Languages of Programs	7	B3
EXP.AT	Experiment@ International Conference	5	B3
ICCDCS	International Caribbean Conference on Devices, Circuits and Systems	6	B3
ICCEBerlin	IEEE International Conference on Consumer Electronics Berlin	12	B3
ICED	International Conference on Engineering Design	7	B3
I3E	International Conference on e-Commerce, e-Business, and e-Government	5	B3
ICIIP	International Conference on Image Information Processing	15	B3
ICIST	International Conference on Information and Software Technologies	6	B3
ICIT	IEEE International Conference on Industrial Technology	14	B3
ICUAS	International Conference on Unmanned Aircraft Systems	15	B3
ICUMT	International Conference on Ultra Modern Telecommunications	14	B3
IDCS	International Conference on Internet and Distributed Computing Systems	7	B3
IEAAIE	International Conference on Industrial Engineering & Other Applications of Applied Intelligence Systems	12	B3
IFUZZY	International Conference on Fuzzy Theory and its Applications	5	B3
IHM	Conférence Francophone sur l’Interaction Homme-Machine	6	B3
IJCCI	International Joint Conference on Computational Intelligence	7	B3
INTECH	International Conference on Innovative Computing Technology	7	B3
ISCOPT	International Symposium on Combinatorial Optimization	0	B3
ISDEVEL	International Conference on Information Systems Development	7	B3
ISIE	IEEE International Symposium on Industrial Electronics	23	B3
ISMM	International Symposium on Mathematical Morphology	15	B3
ISSI	International Society of Scientometrics and Informetrics Conference	6	B3
ISTAR	International  i*Workshop	7	B3
KMO	International Conference on Knowledge Management in Organizations	7	B3
LADC	Latin-American Symposium on Dependable Computing	0	B3
LAGOS	Latin-American Algorithms, Graphs and Optimization Symposium	0	B3
LANC	Latin American Networking Conference	0	B3
LATINCRYPT	International Conference on Cryptology and Information Security in Latin America	0	B3
LA-WEB	Latin American Web Congress	0	B3
M&N	IEEE International Workshop on Measurements & Networking	7	B3
MEMEA	IEEE International Symposium on Medical Measurements and Applications	16	B3
NETWORKS	International Telecommunications Network Strategy and Planning Symposium	7	B3
PATMOS	International Workshop on Power and Timing Modeling, Optimization and Simulation	7	B3
QoMEX	International Workshop on Quality of Multimedia Experience	18	B3
SBCARS	Brazilian Symposium on Components, Architectures and Reuse Software	0	B3
SBCCI	Symposium on Integrated Circuits and Systems Design	7	B3
SBESC	Brazilian Symposium on Computing System Engineering	7	B3
SBLP	Brazilian Symposium on Programming Languages	0	B3
SBMF	Brazilian Symposium on Formal Methods	0	B3
SBQS	Simpósio Brasileiro de Qualidade de Software	0	B3
SBSC	Simpósio Brasileiro de Sistemas Colaborativos	0	B3
SBSeg	Simpósio Brasileiro em Segurança da Informação e de Sistemas Computacionais	0	B3
SBSI	Simpósio Brasileiro de Sistemas de Informação	0	B3
SCCC	International Conference of the Chilean Computer Science Society	7	B3
SENSORNETS	International Conference on Sensor Networks	7	B3
SIIE	Simpósio Internacional de Informática Educatica	7	B3
SMARTGREENS	International Conference on Smart Grids and Green ICT Systems	7	B3
SOC	International Symposium on System-on-Chip	0	B3
SPA	Signal Processing: Algorithms, Architectures, Arrangements, and Applications Conference	7	B3
STIL	Brazilian Symposium in Information and Human Language Technology	0	B3
SYSCON	IEEE International Systems Conference	14	B3
WEBMEDIA	Brazilian Symposium on Multimedia and the Web	7	B3
WEI	Workshop sobre Educação em Computação	0	B3
WFCS	IEEE World Conference on Factory Communication Systems	12	B3
WF-IoT	IEEE World Forum on Internet of Things	0	B3
WIE	Workshop de Informática na Escola	7	B3
WPerformance	Workshop em Desempenho de Sistemas Computacionais e de Comunicação	0	B3
WSCAD	Simpósio em Sistemas Computacionais de Alto Desempenho	0	B3
WSCG	International Conference in Central Europe on Computer Graphics and Visualization and Computer Vision	0	B3
21CW	IEEE Conference on Norbert Wiener in the 21st Century	4	B4
3DCVE	International Workshop on Collaborative Virtual Environments	0	B4
3DOR	Eurographics Workshop on 3D Object Retrieval	0	B4
ADVANCE	International Workshop on ADVANCEs in ICT Infrastructures and Services	0	B4
AISEC	ACM Workshop on Artificial Intelligence and Security	0	B4
APCASE	Asia-Pacific Conference on Computer Aided System Engineering	4	B4
APDCM	Workshop on Advances in Parallel and Distributed Computational Models	0	B4
A-TEST	International Workshop on Automating Test Case Design, Selection and Evaluation	0	B4
ATT	International Workshop on Agents in Traffic and Transportation 	0	B4
BAI	Workshop on Advances in Bioinformatics and Artificial Intelligence: bridging the Gaps	0	B4
BeyondMR	Workshop on Algorithms and Systems for MapReduce and Beyond	0	B4
BIGDSE	IEEE/ACM International Workshop on Big Data Software Engineering	0	B4
BigSpatial	ACM SIGSPATIAL International Workshop on Analytics for Big Geospatial Data	0	B4
BIOKDD	International Workshop on Biological Knowledge Discovery and Data Mining	0	B4
BPMS2	Workshop on Social and Human Aspects of Business Process Management	0	B4
BRESCI	Brazilian e-Science Workshop	0	B4
BWILD	International Workshop on Biometrics in the Wild	0	B4
CBSF	Congresso Brasileiro de Sistemas Fuzzy	0	B4
CHASE	International Workshop on Cooperative and Human Aspects of Software Engineering	0	B4
CIBSE	Congresso Ibero-Americano em Engenharia de Software	0	B4
CIMSIVP	IEEE Symposium on Computational Intelligence for Multimedia, Signal and Vision Processing	3	B4
CIT/IUCC/DASC/PICOM	CIT, IUCC, DASC, PICOM	3	B4
CIVTS	IEEE Symposium on Computational Intelligence in Vehicles and Transportation Systems	3	B4
CLCAR	Latin American Conference on High-Performance Computing	0	B4
CLIHC	Latin American Conference on Human Computer Interaction	0	B4
COGNISE	International Workshop on Cognitive Aspects of Information Systems Engineering	0	B4
COIN	International Workshop on Coordination, Organisations, Institutions and Norms	0	B4
CONFIRM	International Conference on Information Resources Management	0	B4
CONIELECOMP	International Conference on Electronics, Communications and Computers	0	B4
CORAL	International Workshop on Emerging COgnitive Radio Applications and aLgorithms	0	B4
CSA	International Conference on Computer Sciences and Applications	4	B4
DaMNet	Workshop on Data Mining in Networks	0	B4
DCCW	ACM Workshop on Distributed Cloud Computing	0	B4
DeMiMoP	Workshop on Decision Mining & Modeling for Business Processes	0	B4
DESAFIE	Workshop de Desafios da Computação Aplicada à Educação	0	B4
DMNPL	Workshop on Interactions between Data Mining and Natural Language Processing	0	B4
DroNet	Workshop on Micro Aerial Vehicle Networks, Systems, and Applications for Civilian Use	0	B4
ECSAW	European Conference on Software Architecture Workshops	0	B4
EMAS	International Workshop on Engineering Multiagent Systems	0	B4
ENIAC	Encontro Nacional de Inteligencia Artificial e Computacional	0	B4
ERLANG	ACM SIGPLAN Erlang Workshop	0	B4
EURO	European Conference on Operational Research	0	B4
EUROPKI	European Public Key Infrastructure Workshop	0	B4
EVLBP	International Workshop on Evolutionary Business Processes	0	B4
EXAMPI	Workshop on Exascale MPI	0	B4
FCTA	International Conference on Fuzzy Computation Theory and Applications	0	B4
FLinAI	Workshop on Fuzzy Logic in AI	0	B4
FOCI	IEEE Symposium on Foundations of Computational Intelligence	3	B4
FOFAI	International Workshop on Formal Ontologies for Artificial Intelligence	0	B4
FOIS	International Conference on Formal Ontology in Information Systems	0	B4
GCCE	IEEE Global Conference on Consumer Electronics	9	B4
GeoPrivacy	Workshop on Privacy in Geographic Information Collection and Analysis	0	B4
GREENS	International Workshop on Green and Sustainable Software	0	B4
IEEEIA	IEEE Symposium on Intelligent Agents	3	B4
ICCSIT	International Conference on Computer Science and Information Technology	3	B4
ICCVE	International Conference on Connected Vehicles & Exp	8	B4
ICCW	IEEE International Conference on Communications Workshops	0	B4
IMOC	SBMO/IEEE MTT-S International Microwave and Optoelectronics Conference	8	B4
INDUSCON	International Conference on Industry Applications	8	B4
IPDPSW	IEEE International Parallel & Distributed Processing Symposium Workshops	0	B4
ISBRA	International Symposium on Bioinformatics Research and Applications	11	B4
ISCRAM	International Conference on Information Systems for Crisis Response and Management	3	B4
ISEOLE	International Workshop on Intelligent Support in Exploratory and Open-Ended Learning Environments	0	B4
ITA	International Conference on Internet Technologies and Applications	2	B4
IWLS	International Workshop on Logic and Synthesis	0	B4
KnowLOD	Workshop on Knowledge Discovery and Data Mining Meets Linked Open Data	0	B4
LA-CCI	Latin American Conference on Computational Intelligence	0	B4
LACLO	Latin American Conference on Learning Objects and Technologies	0	B4
MISE	Workshop on Modeling in Software Engineering	0	B4
MobiArch	Workshop on Mobility in the Evolving Internet Architecture	0	B4
MTD	International Workshop on Managing Technical Debt	0	B4
MULTIPROG	Workshop on Programmability Issues for Heterogeneous Multicore	0	B4
NFmcp	 International Workshop on New Frontiers in Mining Complex Patterns	0	B4
PLATEAU	Workshop on Evaluation and Usability of Programming Languages and Tools	0	B4
SBACPADW	International Symposium on Computer Architecture and High Performance Computing Workshop	0	B4
SBCM	Simpósio Brasileiro de Computação Musical	0	B4
SBCUP	Simpósio Brasileiro de Computação Ubíqua e Pervasiva	0	B4
SBMICRO	Symposium on Microelectronics Technology and Devices	4	B4
SBPO	Simpósio Brasileiro de Pesquisa Operacional	0	B4
SOCO	Intentational Conference on Software Composition	0	B4
SCSS	International Symposium on Symbolic Computation in Software Science	0	B4
SDIEV	IEEE Symposium on Differential Evolution	0	B4
SEMISH	Seminário Integrado de Software e Hardware	0	B4
SOCM	International Workshop on the Theory and Practice of Social Machines	0	B4
SSCI	Multiconference	3	B4
SUGARLOAFPLOP	Latin American Conference on Pattern Languages of Programming	0	B4
SUMMERSIM	Summer Simulation Multi-conference	4	B4
SustainIT	Conference on Sustainable Internet and ICT for Sustainability	0	B4
SWEET	Workshop on Scalable Workflow Execution Engines and Technologies	0	B4
T&DLA	IEEE PES Transmission & Distribution Conference and Exposition Latin America	8	B4
TEI	International Conference on Tangible, Embedded and Embodied Interaction	24	B4
WAMCA	Workshop on Applications for Multi-Core Architectures	0	B4
WearSys	Workshop on Wearable Systems and Applications	0	B4
WIM	Workshop de Informática Médica	0	B4
WNUT	Workshop on Noisy User-generated Text	0	B4
WWWW	International World Wide Web Conference (Workshops)	0	B4
3DIPM	Three-Dimensional Image Processing, Measurement and Applications	0	B5
AAATE	Association for the Advancement of Assistive Technology in Europe Conference	0	B5
ACHI-IARIA	IARIA International Conference on Advances in Computer-Human Interactions	0	B5
ACRA	Australasian Conference on Robotics and Automation	0	B5
ADVCOMP-IARIA	 IARIA International Conference on Advanced Engineering Computing and Applications in Sciences	0	B5
AICT-IARIA	IARIA Advanced International Conference on Telecommunications	0	B5
ALIO/EURO	Workshop on Applied Combinatorial Optimization	0	B5
AM	Audio Mostly on Interaction With Sound	7	B5
ARGMAS	International Workshop on Argumentation in Multiagent Systems	0	B5
BioCOMP-WC	WC International Conference on Bioinformatics & Computational Biology	0	B5
BIOSTEC	International Joint Conference on Biomedical Engineering Systems and Technologies	0	B5
BNAIC	Benelux Conference on Artificial Intelligence	0	B5
BRASNAM	Brazilian Workshop on Social Network Analysis and Mining	0	B5
C4BIE	International Workshop on Cloud for Business, Industry and Enterprises	0	B5
CARE	Workshop on Collaborative Agents Research and Development	0	B5
CBIC	Congresso Brasileiro de Inteligência Computacional	0	B5
CLAIO	Latin-Ibero-American Conference on Operations Research	0	B5
CLOUDCOMPUTING-IARIA	IARIA International Conference on Cloud Computing, GRIDs, and Virtualization	0	B5
CNMAC	Congresso Nacional de Matemática Aplicada e Computacional	0	B5
CobRA	International Workshop on Exploring Component-based Techniques for Constructing Reference Architectures	0	B5
COGNITIVE-IARIA	IARIA International Conference on Advanced Cognitive Technologies and Applications	0	B5
CONTECSI	International Conference on Information Systems and Technology Management	3	B5
CONTEXT-BPM	International Workshop on Context for Business Process Management	0	B5
CSC-WC	 WC International Conference on Scientific Computing	0	B5
DAPSE	International Workshop on Data Analysis Patterns in Software Engineering	0	B5
DATAANALYTICS-IARIA	IARIA International Conference on Data Analytics	0	B5
DBKD-AIARIA	IARIA International Conference on Advances in Databases, Knowledge, and Data Applications	0	B5
DCM	International Workshop on Developments in Computational Models	0	B5
DCSS	SPIE Defence + Secutity	0	B5
DP	SPIE Digital Photography	0	B5
EEEWC	International Conference on e-Learning, e-Business, Enterprise Information Systems, and e-Government	0	B5
EIS	SPIE Human Vision and Electronic Imaging	0	B5
eKNOW	IARIA International Conference on Information, Process, and Knowledge Management	0	B5
ENERGY-IARIA	IARIA International Conference on Smart Grids, Green Communications and IT Energy-aware Technologies	0	B5
ETELEMED-IARIA	IARIA International Conference on eHealth, Telemedicine, and Social Medicine	0	B5
EUROCG	European Workshop on Computational Geometry	0	B5
EUROCOMB	European Conference on Combinatorics, Graph Theory and Applications	0	B5
EVA	Electronic Visualisation and the Arts	6	B5
FECS-WS	WS International Conference on Frontiers in Education: Computer  Science and Computer Engineering	0	B5
FLINS	International FLINS Conference on Decision Making and Soft Computing	0	B5
GEOINFO	Brazilian Symposium on GeoInformatics	0	B5
GeoPROCESSING-IARIA	IARIA International Conference on Advanced Geographic Information Systems, Applications, and Services	0	B5
HPPN	Workshop on High Performance and Programmable Networking	0	B5
HUMANCOM	International Conference on Human-centric Ubiquitous Computing and Applications	0	B5
Iberchip	Iberchip Workshop	0	B5
ICAI-WC	International Conference on Artificial Intelligence	0	B5
ICARSC	IEEE International Conference on Autonomous Robot Systems and Competitions	0	B5
ICAS-IARIA	IARIA International Conference on Autonomic and Autonomous Systems	0	B5
ICCE	IEEE International Conference on Consumer Electronics	2	B5
ICDP	International Conference on Imaging for Crime Detection and Prevention	0	B5
ICDS-IARIA	IARIA International Conference on Digital Society	0	B5
ICIEOM	International Conference on Industrial Engineering and Operations Management	4	B5
ICIQ	International Conference on Information Quality	0	B5
ICIW-IARIA	IARIA International Conference on Internet and Web Applications and Services	0	B5
ICN-IARIA	IARIA International Conference on Networks	0	B5
ICNS-IARIA	IARIA International Conference on Networking and Services	0	B5
ICONS-IARIA	IARIA International Conference on Systems	0	B5
ICSEA-IARIA	IARIA International Conference on Software Engineering Advances	0	B5
ICSNC-IARIA	IARIA International Conference on Systems and Networks Communications	0	B5
ICWMC-IARIA	IARIA International Conference on Wireless and Mobile Communications	0	B5
ICWNWC	WC International Conference on Wireless Networks	0	B5
IEMSS	International Congress on Environmental Modelling & Software	0	B5
INNOV-IARIA	IARIA International Conference on Communications, Computation, Networks and Technologies	0	B5
INTELLI-IARIA	IARIA International Conference on Intelligent Systems and Applications	0	B5
IoTAAL	Workshop on Internet of Things for Ambient Assisted Living	0	B5
IPCV-WC	WC International Conference on Image Processing, Computer Vision, and Pattern Recognition (WC)	0	B5
IPVC-WC	WC International Conference on Image Processing, Computer Vision, and Pattern Recognition	0	B5
ISCAW	Image-Based Smart City Application Workshop 	0	B5
ISWPC	International Symposium on Wireless and Pervasive Computing	0	B5
IWPSE	International Workshop on Principles of Software Evolution	0	B5
IWS	Iberchip Workshop	0	B5
LAFM	Latin American Workshop on Formal Methods	0	B5
LANMR	Latin American Workshop on Logic/Languages, Algorithms and New Methods of Reasoning	0	B5
LANOMS	Latin-American Network Operations and Management Symposium	0	B5
LAWCG	Latin American Workshop on Cliques in Graphs	0	B5
LISS	International Conference on Logistics, Informatics and Services Sciences	1	B5
MASLE	Workshop in Multiagent System Based Learning Environments	0	B5
MS-ST	IEEE MS Special Track on Services for the Ubiquitous Web	0	B5
MSVWC	WC International Conference on Modeling, Simulation and Visualization Methods	0	B5
NLPCS	International Workshop on Natural Language Processing and Cognitive Science	0	B5
NRW	Asia Pacific Advanced Network Research Workshop	0	B5
PAAMSW	International Workshops of Practical Applications of Agents, Multi-Agent Systems, and Sustainability	0	B5
PATAT	International Conference on the Practice and Theory of Automated Timetabling	0	B5
PDPTAWC	WC International Conference on Parallel and Distributed Processing Techniques and Applications	0	B5
REM	Workshop on Reactivity, Events and Modularity	0	B5
RESER	International Workshop on Replication in Empirical Software Engineering Research	0	B5
SACCONET	International Conference on Smart Communications in Network Technologies	0	B5
SAM-WC	WC International Conference on Security and Management	0	B5
SAST	Brazilian Workshop on Systematic and Automated Software Testing	0	B5
SBIAGRO	Congresso Brasileiro de Agroinformática	0	B5
SCCTSA	International Workshop on Smart City Clouds: Technologies, Systems and Applications	0	B5
SECURWARE-IARIA	IARIA International Conference on Emerging Security Information, Systems and Technologies	0	B5
SELSE	Workshop on Silicon Errors in Logic – System Effects 	0	B5
SEMAPROIARIA	IARIA International Conference on Advances in Semantic Processing	0	B5
SEMEVAL	International Workshop on Semantic Evaluation	0	B5
SERP-WC	WC International Conference on Software Engineering Research and Practice	0	B5
SLISW	Simposio Latinoamericano de Ingeniería de Software	0	B5
SOFTENG-IARIA	IARIA International Conference on Advances and Trends in Software Engineering	0	B5
SWWS-WC	WC International Conference on Semantic Web and Web Services	0	B5
ToRPorEsp	Workshop on Tools and Resources for Automatically Processing Portuguese and Spanish	0	B5
UBICOMM-IARIA	IARIA International Conference on Mobile Ubiquitous Computing, Systems, Services and Technologies	0	B5
URBCOMP	International Workshop on Urban Computing	0	B5
VEM	Workshop on Software Visualization, Evolution and Maintenance	0	B5
VPQM	International Workshop on Video Processing and Quality Metrics for Consumer Electronics	0	B5
WAC	Web as Corpus Workshop	0	B5
WCAMA	Workshop de Computação Aplicada à Gestão do Meio Ambiente e Recursos Naturais	0	B5
WCAS	Workshop on Circuits and Systems Design	0	B5
WCGE	Workshop de Computação Aplicada ao Governo Eletrônico	0	B5
WDES	Workshop de Desenvolvimento Distribuído de Software	0	B5
WEAC	Workshop sobre Educação em Arquitetura de Computadores	0	B5
WER	Workshop on Requirements Engineering	0	B5
WESB	Workshop de Engenharia de Software Baseada em Busca	0	B5
WFA	Workshop de Ferramentas e Aplicações	0	B5
WHC	World Haptics Conference	0	B5
WISM	Workshop on Web Information Systems Modeling	0	B5
WMOD	Workshop on Software Modularity 	0	B5
WOCCES	Workshop de Comunicação em Sistemas Embarcados Crítico	0	B5
WoMO	International Workshop on Modular Ontologies 	0	B5
WP2P+	Workshop de Redes P2P, Dinâmicas, Sociais e Orientadas a Conteúdo	0	B5
WPEIF	Workshop de Pesquisa Experimental da Internet do Futuro	0	B5
WRVA	Workshop de Realidade Virtual e Aumentada	0	B5
WTranS	Workshop de Transparência de Sistema	0	B5
WTTM	Workshop on the Theory of Transactional Memory	0	B5
WVC	Workshop de Visão Computacional	0	B5
