ds_sigla	no_titulo	nu_indice_h	no_estrato
BPM	International Conference on Business Process Management	24	A2
CAISE	International Conference on Advanced Information Systems Engineering	22	A2
CCNC	Annual IEEE Consumer Communications & Networking Conference	24	A2
CGO	International Symposium on Code Generation and Optimization	25	A2
CICC	IEEE Custom Integrated Circuits Conference	22	A2
CICLING	International Conference on Intelligent Text Processing and Computational Linguistics	19	A2
CIG	IEEE Conference on Computational Intelligence and Games	20	A2
CLOSER	International Conference on Cloud Computing and Services Science	19	A2
CLUSTER	IEEE International Conference on Cluster Computing	24	A2
CNSM	International Conference on Network and Service Management	19	A2
CODES+ISSS	International Conference on Hardware/Software Codesign and System Synthesis	22	A2
COLING	International Conference on Computational Linguistics	26	A2
COMPSAC	Annual International Computers, Software & Applications Conference	19	A2
COMSNETS	International Conference on COMmunication Systems & NETworkS	23	A2
CONCUR	International Conference on Concurrency Theory	22	A2
CP	International Conference on Principles and Practice of Constraint Programming	20	A2
CSMR	European Conference on Software Maintenance and Reengineering	25	A2
DCOSS	International Conference on Distributed Computing in Sensor Systems	21	A2
DEBS	International Conference on Distributed and Event-Based Systems	22	A2
ECAI	European Conference on Artificial Intelligence	23	A2
ECIR	European Conference on Information Retrieval	25	A2
ECIS	European Conference on Information Systems	24	A2
ECOOP	European Conference on Object-Oriented Programming	24	A2
EDM	International Conference on Educational Data Mining	22	A2
EDOC	IEEE International Enterprise Distributed Object Computing Conference	20	A2
EICS	Symposium on Engineering Interactive Computing Systems	19	A2
ESA	European Symposium on Algorithms	22	A2
ESEM	ACM/IEEE International Symposium on Empirical Software Engineering and Measurement	22	A2
EUSIPCO	European Signal Processing Conference	25	A2
FASE	International Conference on Fundamental Approaches to Software Engineering	23	A2
FCCM	IEEE Annual International Symposium on Field-Programmable Custom Computing Machines	22	A2
FM	International Symposium on Formal Methods	21	A2
FMCAD	International Conference on Formal Methods in Computer-Aided Design	20	A2
FPL	International Conference on Field-Programmable Logic and Applications	20	A2
HPCC	International Conference on High Performance Computing and Communications	21	A2
HT	ACM Conference on Hypertext and Social Media	24	A2
I2MTC	IEEE International Instrumentation and Measurement Technology Conference	19	A2
I3D	ACM Symposium on Interactive 3D Graphics and Games	20	A2
ICAISC	International Conference on Artificial Intelligence and Soft Computing	21	A2
ICB	International Conference on Biometrics	23	A2
ICCCN	International Conference on Computer Communications and Networks	23	A2
ICCD	International Conference on Computer Design	19	A2
ICNC	International Conference on Computing, Networking and Communications	22	A2
ICPADS	International Conference on Parallel and Distributed Systems	19	A2
ICPC	International Conference on Program Comprehension	23	A2
ICPE	International Conference on Performance Engineering	21	A2
ICPR	International Conference on Pattern Recognition	26	A2
ICSOC	International Conference on Service Oriented Computing	22	A2
ICSTV	IEEE International Conference on Software Testing, Verification and Validation	26	A2
ICWS	IEEE International Conference on Web Services	26	A2
IISWC	IEEE International Symposium on Workload Characterization	19	A2
IM	IFIP/IEEE International Symposium on Integrated Network Management	22	A2
IMIS	International Conference on Innovative Mobile and Internet Services in Ubiquitous Computing	21	A2
INTERACT	IFIP TC 13 International Conference on Human-Computer Interaction	25	A2
ISCC	International Symposium on Computers and Communications	20	A2
ISLPED	International Symposium on Low Power Electronics and Design	24	A2
ISPASS	International Symposium on Performance Analysis of Systems and Software	24	A2
ISSRE	IEEE International Symposium on Software Reliability Engineering	19	A2
ISWCS	International Symposium on Wireless Communication Systems	20	A2
ITICSE	ACM Conference on Innovation and Technology in Computer Science Education	19	A2
IUI	International Conference on Intelligent User Interfaces	26	A2
IWCMC	International Conference on Wireless Communications and Mobile Computing	24	A2
JCDL	ACM/IEEE Joint Conference on Digital Libraries	21	A2
KR	International Conference on Principles of Knowledge Representation and Reasoning	23	A2
MASCOTS	International Symposium on the Modeling, Analysis, and Simulation of Computer and Telecommunication Systems	19	A2
MDM	IEEE International Conference on Mobile Data Management	20	A2
MIDDLEWARE	International Middleware Conference	21	A2
MMSYS	ACM Multimedia Systems Conference	24	A2
MODELS	International Conference on Model Driven Engineering Languages and Systems	25	A2
MODULARITY	International Conference on Modularity	19	A2
NETWORKING	IFIP Networking Conference	24	A2
NFM	NASA Formal Methods Symposium	21	A2
NOMS	IEEE/IFIP Network Operations and Management Symposium	21	A2
PacificVis	IEEE Pacific Visualization Symposium	21	A2
PAKDD	Pacific-Asia Conference on Knowledge Discovery and Data Mining	22	A2
PAM	Passive and Active Network Measurement Conference	22	A2
PDP	Euromicro International Conference on Parallel, Distributed and Network-Based Processing	19	A2
RE	International Requirements Engineering Conference	20	A2
RECOMB	International Conference on Research in Computational Molecular Biology	21	A2
RTSS	Real-Time Systems Symposium	24	A2
SACRYPT	Workshop on Selected Areas in Cryptography	22	A2
SAT	International Conference on Theory and Applications of Satisfiability Testing	23	A2
IEEESCC	IEEE International Conference on Services Computing	21	A2
SERVICES	IEEE World Congress on Services	19	A2
SLT	Workshop on Spoken Language Technology	19	A2
SMC	IEEE International Conference on Systems, Man and Cybernetics	23	A2
COMPGEOM	International Symposium on Computational Geometry	24	A2
TRUSTCOM	International Conference on Trust, Security and Privacy in Computing and Communications	25	A2
UCC	IEEE/ACM International Conference on Utility and Cloud Computing	22	A2
VAMOS	International Workshop on Variability Modelling of Software-intensive Systems	19	A2
VAST	IEEE Conference on Visual Analytics Science and Technology	23	A2
WCRE	Working Conference on Reverse Engineering	22	A2
WEA	Workshop on Experimental and Efficient Algorithms	21	A2
