ds_sigla	no_titulo	no_estrato
ASSETS	International ACM SIGACCESS Conference on Computers and Accessibility	A2
AVSS	IEEE International Conference on Advanced Video and Signal Based Surveillance	A2
BPM	International Conference on Business Process Management	A2
BTAS	IEEE International Conference on Biometrics: Theory, Applications, and Systems	A2
CADE	International Conference on Automated Deduction	A2
CAISE	International Conference on Advanced Information Systems Engineering	A2
CGO	International Symposium on Code Generation and Optimization	A2
CICC	IEEE Custom Integrated Circuits Conference	A2
CICLING	International Conference on Intelligent Text Processing and Computational Linguistics	A2
CIG	IEEE Conference on Computational Intelligence and Games	A2
CLOSER	International Conference on Cloud Computing and Services Science	A2
CLUSTER	IEEE International Conference on Cluster Computing	A2
CNSM	International Conference on Network and Service Management	A2
CODES+ISSS	International Conference on Hardware/Software Codesign and System Synthesis	A2
COLING	International Conference on Computational Linguistics	A2
COMPGEOM	International Symposium on Computational Geometry	A2
COMPSAC	Annual International Computers, Software & Applications Conference	A2
COMSNETS	International Conference on COMmunication Systems & NETworkS	A2
CONCUR	International Conference on Concurrency Theory	A2
CoopIS	International Conference on Cooperative Information Systems	A2
CP	International Conference on Principles and Practice of Constraint Programming	A2
CSF	IEEE Computer Security Foundations Symposium	A2
CSMR	European Conference on Software Maintenance and Reengineering	A2
CT-RSA	RSA Conference Cryptographers' Track	A2
DCOSS	International Conference on Distributed Computing in Sensor Systems	A2
DEBS	International Conference on Distributed and Event-Based Systems	A2
ECAI	European Conference on Artificial Intelligence	A2
ECIR	European Conference on Information Retrieval	A2
ECIS	European Conference on Information Systems	A2
ECOOP	European Conference on Object-Oriented Programming	A2
EDM	International Conference on Educational Data Mining	A2
EDOC	IEEE International Enterprise Distributed Object Computing Conference	A2
EICS	ACM SIGCHI Symposium on Engineering Interactive Computing Systems	A2
ESA	European Symposium on Algorithms	A2
ESEM	ACM/IEEE International Symposium on Empirical Software Engineering and Measurement	A2
ESORICS	European Symposium on Research in Computer Security	A2
ETRA	Biennial ACM Symposium on Eye Tracking Research & Applications	A2
EUSIPCO	European Signal Processing Conference	A2
FASE	International Conference on Fundamental Approaches to Software Engineering	A2
FCCM	IEEE Annual International Symposium on Field-Programmable Custom Computing Machines	A2
FM	International Symposium on Formal Methods	A2
FMCAD	International Conference on Formal Methods in Computer-Aided Design	A2
FPL	International Conference on Field-Programmable Logic and Applications	A2
HPCC	International Conference on High Performance Computing and Communications	A2
HT	ACM Conference on Hypertext and Social Media	A2
I2MTC	IEEE International Instrumentation and Measurement Technology Conference	A2
I3D	ACM Symposium on Interactive 3D Graphics and Games	A2
ICAISC	International Conference on Artificial Intelligence and Soft Computing	A2
ICAPS	International Conference on Automated Planning and Scheduling	A2
ICB	International Conference on Biometrics	A2
ICCCN	International Conference on Computer Communications and Networks	A2
ICCD	International Conference on Computer Design	A2
ICCNC	International Conference on Computing, Networking and Communications	A2
ICME	IEEE International Conference on Multimedia and Expo	A2
ICPADS	International Conference on Parallel and Distributed Systems	A2
ICPC	International Conference on Program Comprehension	A2
ICPE	International Conference on Performance Engineering	A2
ICPR	International Conference on Pattern Recognition	A2
ICSOC	International Conference on Service Oriented Computing	A2
ICSTV	IEEE International Conference on Software Testing, Verification and Validation	A2
ICWS	IEEE International Conference on Web Services	A2
IEEESCC	IEEE International Conference on Services Computing	A2
IGSC	International Green and Sustainable Computing Conference	A2
IISWC	IEEE International Symposium on Workload Characterization	A2
IM	IFIP/IEEE International Symposium on Integrated Network Management	A2
IMIS	International Conference on Innovative Mobile and Internet Services in Ubiquitous Computing	A2
INTERACT	IFIP TC 13 International Conference on Human-Computer Interaction	A2
